state,democratic_votes,republican_votes
Alabama,843473,1434159
Alaska,150262,185769
Arizona,1672143,1661686
Arkansas,423311,759625
California,10933242,5871037
Colorado,1803921,1364202
Connecticut,1080387,714973
Delaware,296268,200603
Florida,5297045,5668731
Georgia,2472434,2458378
Hawaii,366070,196800
Idaho,287031,554128
Illinois,3405165,2419926
Indiana,1241734,1729394
Iowa,758881,897467
Kansas,551199,753370
Kentucky,772223,1326347
Louisiana,856034,1255776
Maine,420357,341949
Maryland,1917406,960681
Massachusetts,2319174,1149302
Michigan,2807309,2649537
Minnesota,1716312,1483750
Mississippi,515777,746783
Missouri,1242851,1711848
Montana,244783,343590
Nebraska,374169,555509
Nevada,703486,669890
New Hampshire,424937,365660
New Jersey,2506955,1815124
New Mexico,501460,401815
New York,3908816,2919415
North Carolina,2684302,2758775
North Dakota,114902,235595
Ohio,2657494,3119170
Oklahoma,503890,1020280
Oregon,1333563,952542
Pennsylvania,3445191,3363064
Rhode Island,306192,199830
South Carolina,1091541,1385103
South Dakota,150471,261043
Tennessee,1139376,1849820
Texas,5235216,5873085
Utah,560267,865100
Vermont,242820,112704
Virginia,2413973,1962571
Washington,2361607,1577621
West Virginia,235847,545051
Wisconsin,1630716,1610151
Wyoming,73491,193559
District of Columbia,345302,19875
Ward 2,28185,2874
Ward 3,38436,3638
Ward 4,41604,1885
Ward 5,42453,1725
Ward 6,52357,4176
Ward 7,35861,1116
Ward 8,30332,1055
